                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                  1.037,                 2.2657,                 1.4099,                0.34034,                0.49169,                0.36845,                 0.2394,                 1.0854,                 3.8756,                 1.5564,             0.00032946,             0.00032946,             0.00032946
                      2,                  1.136,                 1.8182,                 1.4437,                0.50459,                 0.2545,                0.17974,                0.09689,                 1.5859,                 3.6621,                 2.0257,             0.00063654,             0.00063654,             0.00063654
                      3,                 1.1653,                   1.72,                 1.4557,                0.25625,                0.16991,                0.14206,                0.08884,                 1.7041,                 3.8028,                 2.2804,             0.00091723,             0.00091723,             0.00091723
                      4,                 1.1959,                 1.7576,                 1.4903,                 0.1955,                0.42095,                0.23676,                0.14086,                 1.3879,                 2.6018,                 1.8242,              0.0008812,              0.0008812,              0.0008812
                      5,                 1.1219,                  1.555,                 1.4095,                 0.4667,                0.45751,                0.45113,                0.29657,                 1.1746,                 1.8813,                 1.5697,              0.0008416,              0.0008416,              0.0008416
                      6,                 1.0659,                 1.4777,                 1.3747,                0.53213,                0.63276,                0.59938,                0.39794,                  1.073,                 1.3869,                 1.4783,               0.000802,               0.000802,               0.000802
                      7,                  1.047,                 1.4169,                 1.3536,                0.49158,                0.58222,                 0.5417,                0.34713,                 1.1409,                 1.7064,                 1.5351,              0.0007624,              0.0007624,              0.0007624
                      8,                 1.0168,                 1.3493,                 1.3309,                0.63558,                0.60612,                0.64675,                  0.451,                0.97122,                 1.3635,                 1.3818,              0.0007228,              0.0007228,              0.0007228
                      9,                 0.9935,                 1.2717,                 1.3233,                0.62891,                0.62592,                0.65345,                0.46564,                0.94307,                  1.191,                 1.3572,              0.0006832,              0.0006832,              0.0006832
                     10,                0.96049,                 1.2169,                 1.2948,                0.72094,                0.67629,                  0.744,                0.55564,                0.83042,                 1.1475,                 1.2468,              0.0006436,              0.0006436,              0.0006436
                     11,                0.97347,                  1.206,                 1.3098,                 0.6665,                0.66345,                0.70649,                0.52931,                0.85486,                 1.0971,                 1.2601,               0.000604,               0.000604,               0.000604
                     12,                0.92088,                 1.1255,                 1.2707,                0.69779,                0.78802,                0.79034,                0.60174,                0.82454,                0.94752,                 1.2456,              0.0005644,              0.0005644,              0.0005644
                     13,                0.91126,                 1.1129,                 1.2616,                0.76758,                0.72703,                0.79714,                0.60083,                0.86659,                 1.0046,                 1.2823,              0.0005248,              0.0005248,              0.0005248
                     14,                0.87921,                 1.0753,                 1.2437,                 0.8037,                0.75573,                0.86467,                0.66457,                0.80669,                0.82979,                 1.2128,              0.0004852,              0.0004852,              0.0004852
                     15,                0.86929,                 1.0088,                 1.2381,                0.68159,                0.82558,                 0.8262,                0.64164,                0.80563,                0.92176,                 1.2143,              0.0004456,              0.0004456,              0.0004456
                     16,                0.79379,                0.87105,                  1.253,                0.75074,                  0.748,                0.82356,                0.63548,                0.77882,                0.90195,                 1.2042,               0.000406,               0.000406,               0.000406
                     17,                0.76969,                 0.8001,                 1.2246,                0.78178,                0.74959,                0.82305,                 0.6379,                0.79877,                0.85498,                 1.2163,              0.0003664,              0.0003664,              0.0003664
                     18,                0.75766,                0.76762,                 1.2146,                0.79823,                0.79485,                0.85447,                0.67405,                0.78001,                0.84079,                 1.1859,              0.0003268,              0.0003268,              0.0003268
                     19,                0.72901,                0.73088,                 1.1748,                0.83147,                0.73231,                0.85763,                0.68075,                0.74273,                0.78427,                 1.1541,              0.0002872,              0.0002872,              0.0002872
                     20,                0.71219,                0.68874,                 1.1661,                 0.8022,                0.82153,                0.88896,                0.71323,                0.72818,                0.71732,                 1.1476,              0.0002476,              0.0002476,              0.0002476
                     21,                0.68609,                0.65946,                 1.1407,                0.79386,                0.81929,                0.88309,                0.71322,                0.74102,                0.71299,                 1.1549,               0.000208,               0.000208,               0.000208
                     22,                0.67659,                0.63549,                  1.137,                 0.7933,                0.83747,                0.89457,                0.71499,                0.72706,                0.66046,                 1.1408,              0.0001684,              0.0001684,              0.0001684
                     23,                0.65792,                0.59164,                  1.123,                0.82531,                0.83183,                0.89287,                0.73215,                0.71222,                0.68886,                 1.1289,              0.0001288,              0.0001288,              0.0001288
                     24,                0.64164,                0.55958,                 1.1291,                0.81473,                0.84689,                0.89574,                0.73051,                0.71057,                0.65905,                 1.1279,               8.92e-05,               8.92e-05,               8.92e-05
                     25,                0.62612,                0.52283,                  1.115,                0.83625,                0.83892,                0.89922,                0.73646,                0.69785,                0.63707,                  1.115,               4.96e-05,               4.96e-05,               4.96e-05
